Data;20631 - Concessões de crédito - Total - R$ (milhões)
03/2011;215.654
04/2011;203.722
05/2011;227.829
06/2011;229.876
07/2011;222.347
08/2011;249.440
09/2011;233.041
10/2011;222.498
11/2011;241.472
12/2011;269.534
01/2012;214.365
02/2012;204.149
03/2012;241.689
04/2012;232.678
05/2012;255.850
06/2012;244.247
07/2012;242.241
08/2012;254.479
09/2012;235.073
10/2012;272.112
11/2012;255.426
12/2012;291.095
01/2013;239.834
02/2013;226.768
03/2013;253.830
04/2013;269.990
05/2013;285.961
06/2013;278.819
07/2013;266.075
08/2013;272.139
09/2013;268.855
10/2013;283.201
11/2013;272.926
12/2013;324.165
01/2014;258.890
02/2014;261.076
03/2014;269.914
04/2014;274.446
05/2014;281.894
06/2014;285.440
07/2014;273.713
08/2014;271.693
09/2014;295.760
10/2014;295.130
11/2014;275.246
12/2014;336.989
01/2015;258.635
02/2015;229.875
03/2015;291.275
04/2015;270.008
05/2015;268.569
06/2015;288.714
07/2015;270.957
08/2015;260.543
09/2015;275.332
10/2015;261.153
11/2015;267.109
12/2015;312.270
01/2016;221.091
02/2016;226.223
03/2016;260.281
04/2016;239.653
05/2016;254.322
06/2016;267.408
07/2016;234.469
08/2016;251.986
09/2016;247.578
10/2016;241.097
11/2016;256.250
12/2016;289.468
01/2017;232.184
02/2017;207.477
03/2017;274.379
04/2017;227.886
05/2017;260.949
06/2017;278.300
07/2017;240.687
08/2017;266.033
09/2017;251.855
10/2017;264.017
11/2017;271.125
12/2017;305.726
01/2018;255.548
02/2018;244.817
03/2018;281.668
04/2018;280.100
05/2018;283.288
06/2018;292.071
07/2018;278.588
08/2018;310.499
09/2018;277.284
10/2018;303.093
11/2018;307.661
12/2018;340.431
01/2019;283.769
02/2019;284.069
03/2019;297.305
04/2019;304.313
05/2019;329.324
06/2019;318.258
07/2019;328.506
08/2019;332.154
09/2019;339.612
10/2019;350.529
11/2019;346.660
12/2019;405.495
01/2020;322.534
02/2020;308.695
03/2020;396.763
04/2020;297.019
05/2020;285.711
06/2020;322.147
07/2020;344.789
08/2020;347.767
09/2020;369.520
10/2020;352.828
11/2020;378.944
12/2020;401.760
01/2021;296.437
02/2021;313.861
03/2021;407.045
04/2021;380.472
05/2021;403.330
06/2021;425.408
Fonte;BCB-DSTAT
