Data;14096 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sudeste - Total - R$ (milhões)
01/2004;216.845
02/2004;217.283
03/2004;218.341
04/2004;222.592
05/2004;229.802
06/2004;233.203
07/2004;235.856
08/2004;237.302
09/2004;240.081
10/2004;246.269
11/2004;247.652
12/2004;248.810
01/2005;252.258
02/2005;255.614
03/2005;258.446
04/2005;262.844
05/2005;262.741
06/2005;266.702
07/2005;271.216
08/2005;274.816
09/2005;277.130
10/2005;283.169
11/2005;288.286
12/2005;296.951
01/2006;298.413
02/2006;303.054
03/2006;307.093
04/2006;313.302
05/2006;321.762
06/2006;324.721
07/2006;331.410
08/2006;331.844
09/2006;338.383
10/2006;345.173
11/2006;355.325
12/2006;366.862
01/2007;370.840
02/2007;376.187
03/2007;382.236
04/2007;390.868
05/2007;396.480
06/2007;405.533
07/2007;413.960
08/2007;427.892
09/2007;438.640
10/2007;449.939
11/2007;467.421
12/2007;484.633
01/2008;490.014
02/2008;500.418
03/2008;518.671
04/2008;532.886
05/2008;549.616
06/2008;563.561
07/2008;573.585
08/2008;588.482
09/2008;607.825
10/2008;628.667
11/2008;642.161
12/2008;647.450
01/2009;646.317
02/2009;651.953
03/2009;656.090
04/2009;660.553
05/2009;665.670
06/2009;675.355
07/2009;693.729
08/2009;704.262
09/2009;717.563
10/2009;728.560
11/2009;743.383
12/2009;754.126
01/2010;765.649
02/2010;770.580
03/2010;772.646
04/2010;781.339
05/2010;796.801
06/2010;819.205
07/2010;830.976
08/2010;847.073
09/2010;865.167
10/2010;884.454
11/2010;899.609
12/2010;910.542
01/2011;916.640
02/2011;929.897
03/2011;937.695
04/2011;950.511
05/2011;964.374
06/2011;981.242
07/2011;994.409
08/2011;1.008.488
09/2011;1.034.116
10/2011;1.043.219
11/2011;1.064.546
12/2011;1.086.588
01/2012;1.088.861
02/2012;1.093.676
03/2012;1.113.299
04/2012;1.125.400
05/2012;1.142.026
06/2012;1.158.113
07/2012;1.168.606
08/2012;1.180.254
09/2012;1.192.680
10/2012;1.209.504
11/2012;1.224.992
12/2012;1.254.446
01/2013;1.251.070
02/2013;1.259.333
03/2013;1.279.785
04/2013;1.290.752
05/2013;1.306.390
06/2013;1.327.495
07/2013;1.334.362
08/2013;1.349.247
09/2013;1.361.255
10/2013;1.367.612
11/2013;1.388.776
12/2013;1.420.600
01/2014;1.421.951
02/2014;1.433.550
03/2014;1.458.749
04/2014;1.474.187
05/2014;1.489.862
06/2014;1.505.887
07/2014;1.509.399
08/2014;1.523.101
09/2014;1.540.273
10/2014;1.552.174
11/2014;1.570.413
12/2014;1.603.091
01/2015;1.602.523
02/2015;1.608.725
03/2015;1.628.593
04/2015;1.632.341
05/2015;1.645.841
06/2015;1.658.568
07/2015;1.664.917
08/2015;1.679.756
09/2015;1.696.976
10/2015;1.693.602
11/2015;1.707.361
12/2015;1.732.269
01/2016;1.719.660
02/2016;1.711.561
03/2016;1.697.920
04/2016;1.685.395
05/2016;1.691.821
06/2016;1.682.257
07/2016;1.674.908
08/2016;1.673.656
09/2016;1.669.664
10/2016;1.659.796
11/2016;1.657.926
12/2016;1.649.962
01/2017;1.629.728
02/2017;1.629.070
03/2017;1.630.811
04/2017;1.621.838
05/2017;1.620.237
06/2017;1.624.754
07/2017;1.610.088
08/2017;1.605.715
09/2017;1.607.140
10/2017;1.605.252
11/2017;1.611.949
12/2017;1.618.056
01/2018;1.599.913
02/2018;1.592.784
03/2018;1.604.675
04/2018;1.607.532
05/2018;1.611.047
06/2018;1.623.836
07/2018;1.619.247
08/2018;1.635.227
09/2018;1.641.174
10/2018;1.631.660
11/2018;1.650.039
12/2018;1.682.631
01/2019;1.663.354
02/2019;1.665.400
03/2019;1.677.846
04/2019;1.671.268
05/2019;1.677.516
06/2019;1.678.262
07/2019;1.670.902
08/2019;1.688.107
09/2019;1.706.314
10/2019;1.702.744
11/2019;1.722.489
12/2019;1.752.040
01/2020;1.738.523
02/2020;1.747.231
03/2020;1.810.664
04/2020;1.811.555
05/2020;1.818.092
06/2020;1.838.220
07/2020;1.861.624
08/2020;1.895.632
09/2020;1.929.969
10/2020;1.957.855
11/2020;1.998.542
12/2020;2.025.311
01/2021;2.015.041
02/2021;2.050.470
03/2021;2.082.912
04/2021;2.091.004
05/2021;2.114.751
06/2021;2.126.586
07/2021;2.138.864
Fonte;BCB
