Data;12101 - Operações de crédito com recursos livres concedidos por cooperativa de crédito - pessoas físicas - rural - R$ (milhões);12102 - Operações de crédito com recursos livres concedidos  por cooperativa de crédito - pessoas físicas - empréstimos de mútuo - R$ (milhões);12103 - Operações de                crédito com recursos livres concedidos por cooperativa                  de crédito - pessoas físicas - total - R$ (milhões);12132 - Operações de crédito do sistema financeiro com recursos direcionados concedidos por Cooperativas - Rural - R$ (milhões);13702 - Operações de crédito livres das cooperativas - pessoas físicas/PIB - %;14096 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sudeste - Total - R$ (milhões);17481 - Crédito com recursos livres das cooperativas - pessoas físicas/PIB - %
03/2000;-;-;-;-;0,1 ;-;-
04/2000;-;-;-;-;0,1 ;-;-
05/2000;-;-;-;-;0,1 ;-;-
06/2000;325 ;1.968 ;2.293 ;336 ;0,2 ;-;-
07/2000;329 ;2.027 ;2.356 ;318 ;0,2 ;-;-
08/2000;339 ;2.066 ;2.405 ;302 ;0,2 ;-;-
09/2000;328 ;2.107 ;2.435 ;354 ;0,2 ;-;-
10/2000;343 ;2.159 ;2.502 ;414 ;0,2 ;-;-
11/2000;349 ;2.198 ;2.547 ;476 ;0,2 ;-;-
12/2000;339 ;2.210 ;2.550 ;492 ;0,2 ;-;-
01/2001;344 ;2.302 ;2.646 ;496 ;0,2 ;-;0,2
02/2001;346 ;2.372 ;2.718 ;476 ;0,2 ;-;0,2
03/2001;339 ;2.433 ;2.772 ;489 ;0,2 ;-;0,2
04/2001;333 ;2.499 ;2.832 ;511 ;0,2 ;-;0,2
05/2001;343 ;2.589 ;2.933 ;545 ;0,2 ;-;0,2
06/2001;341 ;2.669 ;3.010 ;510 ;0,2 ;-;0,2
07/2001;349 ;2.749 ;3.098 ;460 ;0,2 ;-;0,2
08/2001;351 ;2.827 ;3.179 ;445 ;0,2 ;-;0,3
09/2001;360 ;2.881 ;3.241 ;518 ;0,2 ;-;0,3
10/2001;368 ;2.914 ;3.283 ;601 ;0,2 ;-;0,3
11/2001;383 ;2.975 ;3.358 ;616 ;0,2 ;-;0,3
12/2001;390 ;3.015 ;3.405 ;637 ;0,2 ;-;0,3
01/2002;391 ;3.096 ;3.486 ;680 ;0,3 ;-;0,3
02/2002;389 ;3.141 ;3.530 ;705 ;0,3 ;-;0,3
03/2002;400 ;3.183 ;3.583 ;728 ;0,3 ;-;0,3
04/2002;406 ;3.252 ;3.658 ;712 ;0,3 ;-;0,3
05/2002;414 ;3.279 ;3.693 ;737 ;0,3 ;-;0,3
06/2002;413 ;3.249 ;3.662 ;742 ;0,3 ;-;0,3
07/2002;412 ;3.278 ;3.690 ;675 ;0,2 ;-;0,3
08/2002;411 ;3.313 ;3.724 ;659 ;0,2 ;-;0,3
09/2002;412 ;3.387 ;3.799 ;752 ;0,2 ;-;0,3
10/2002;427 ;3.451 ;3.878 ;870 ;0,2 ;-;0,3
11/2002;443 ;3.540 ;3.983 ;842 ;0,2 ;-;0,3
12/2002;454 ;3.563 ;4.017 ;864 ;0,2 ;-;0,3
01/2003;447 ;3.666 ;4.113 ;882 ;0,2 ;-;0,3
02/2003;452 ;3.749 ;4.200 ;886 ;0,2 ;-;0,3
03/2003;466 ;3.808 ;4.275 ;916 ;0,2 ;-;0,3
04/2003;479 ;3.909 ;4.388 ;917 ;0,3 ;-;0,3
05/2003;495 ;3.987 ;4.482 ;958 ;0,3 ;-;0,3
06/2003;516 ;4.071 ;4.587 ;1.005 ;0,3 ;-;0,3
07/2003;530 ;4.131 ;4.661 ;954 ;0,3 ;-;0,3
08/2003;534 ;4.197 ;4.731 ;968 ;0,3 ;-;0,3
09/2003;563 ;4.303 ;4.866 ;1.139 ;0,3 ;-;0,3
10/2003;598 ;4.424 ;5.023 ;1.199 ;0,3 ;-;0,3
11/2003;615 ;4.506 ;5.122 ;1.170 ;0,3 ;-;0,3
